survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-184-a1.5-p16-l8,64,0,0,64,true,true,0
natural-185-a1.5-p16-l8,128,0,0,128,true,true,0
natural-186-a1.5-p16-l8,256,0,8,256,true,true,8
natural-187-a1.5-p16-l8,512,48,64,512,true,true,16
natural-188-a1.5-p16-l8,64,0,0,64,true,true,0
natural-189-a1.5-p16-l8,128,0,0,128,true,true,0
natural-190-a1.5-p16-l8,256,0,0,256,true,true,0
natural-191-a1.5-p16-l8,512,0,0,512,true,true,0
natural-192-a1.5-p16-l8,64,0,0,64,true,true,0
natural-193-a1.5-p16-l8,128,0,0,128,true,true,0
natural-194-a1.5-p16-l8,256,0,0,256,true,true,0
natural-195-a1.5-p16-l8,512,0,0,512,true,true,0
natural-196-a1.5-p16-l8,64,0,0,64,true,true,0
natural-197-a1.5-p16-l8,128,16,16,128,true,true,0
natural-198-a1.5-p16-l8,256,0,0,256,true,true,0
natural-199-a1.5-p16-l8,512,0,0,512,true,true,0
natural-200-a1.5-p16-l8,64,0,0,64,true,true,0
natural-201-a1.5-p16-l8,128,0,0,128,true,true,0
natural-202-a1.5-p16-l8,256,0,0,256,true,true,0
natural-203-a1.5-p16-l8,512,8,8,512,true,true,0
natural-204-a1.5-p16-l8,64,0,0,64,true,true,0
natural-205-a1.5-p16-l8,128,0,0,128,true,true,0
natural-206-a1.5-p16-l8,256,0,0,256,true,true,0
natural-207-a1.5-p16-l8,512,0,0,512,true,true,0
natural-208-a1.5-p16-l8,64,0,0,64,true,true,0
natural-209-a1.5-p16-l8,128,0,0,128,true,true,0
natural-210-a1.5-p16-l8,256,0,0,256,true,true,0
natural-211-a1.5-p16-l8,512,0,0,512,true,true,0
natural-212-a1.5-p16-l8,64,0,0,64,true,true,0
natural-213-a1.5-p16-l8,128,0,0,128,true,true,0
natural-214-a1.5-p16-l8,256,0,0,256,true,true,0
natural-215-a1.5-p16-l8,512,0,8,512,true,true,8
natural-216-a1.5-p16-l8,64,0,0,64,true,true,0
natural-217-a1.5-p16-l8,128,0,0,128,true,true,0
natural-218-a1.5-p16-l8,256,0,0,256,true,true,0
natural-219-a1.5-p16-l8,512,0,0,512,true,true,0
natural-220-a1.5-p16-l8,64,0,0,64,true,true,0
natural-221-a1.5-p16-l8,128,0,0,128,true,true,0
natural-222-a1.5-p16-l8,256,0,0,256,true,true,0
natural-223-a1.5-p16-l8,512,0,0,512,true,true,0
natural-224-a1.5-p16-l8,64,0,0,64,true,true,0
natural-225-a1.5-p16-l8,128,0,0,128,true,true,0
natural-226-a1.5-p16-l8,256,32,48,256,true,true,16
natural-227-a1.5-p16-l8,512,240,280,512,true,true,40
natural-228-a1.5-p16-l8,64,0,0,64,true,true,0
natural-229-a1.5-p16-l8,128,0,0,128,true,true,0
natural-230-a1.5-p16-l8,256,32,32,256,true,true,0
natural-231-a1.5-p16-l8,512,16,24,512,true,true,8
natural-232-a1.5-p16-l8,64,0,0,64,true,true,0
natural-233-a1.5-p16-l8,128,0,0,128,true,true,0
natural-234-a1.5-p16-l8,256,0,8,256,true,true,8
natural-235-a1.5-p16-l8,512,96,128,512,true,true,32
natural-236-a1.5-p16-l8,64,0,0,64,true,true,0
natural-237-a1.5-p16-l8,128,0,0,128,true,true,0
natural-238-a1.5-p16-l8,256,0,0,256,true,true,0
natural-239-a1.5-p16-l8,512,0,0,512,true,true,0
natural-240-a1.5-p16-l8,64,0,0,64,true,true,0
natural-241-a1.5-p16-l8,128,0,0,128,true,true,0
natural-242-a1.5-p16-l8,256,8,8,256,true,true,0
natural-243-a1.5-p16-l8,512,8,8,512,true,true,0
natural-244-a1.5-p16-l8,64,24,24,64,true,true,0
